pressure [Pa],temperature [C]=10,temperature [C]=12.5,temperature [C]=15,temperature [C]=17.5,temperature [C]=20,temperature [C]=22.5,temperature [C]=25,temperature [C]=27.5,temperature [C]=30,temperature [C]=32.5,temperature [C]=35,temperature [C]=37.5,temperature [C]=40,temperature [C]=42.5,temperature [C]=45,temperature [C]=47.5,temperature [C]=50,temperature [C]=52.5,temperature [C]=55,temperature [C]=57.5,temperature [C]=60,temperature [C]=62.5,temperature [C]=65,temperature [C]=67.5,temperature [C]=70
100000,0.0499116,0.0462477,0.0429411,0.0399488,0.0372334,0.0347623,0.0325072,0.0304429,0.0285475,0.0268017,0.0251883,0.0236922,0.0222997,0.0209988,0.0197786,0.0186293,0.0175422,0.0165092,0.0155229,0.0145768,0.0136645,0.0127803,0.011919,0.0110755,0.0102449
1.1e+06,0.515157,0.479232,0.446846,0.417588,0.3911,0.367069,0.345226,0.325332,0.307179,0.290585,0.275388,0.261447,0.248636,0.236844,0.225971,0.215931,0.206643,0.198039,0.190054,0.182634,0.175726,0.169286,0.163272,0.157646,0.152374
2.1e+06,0.910287,0.848661,0.792989,0.742593,0.696884,0.655345,0.617526,0.583032,0.551516,0.522673,0.496233,0.471957,0.449634,0.429077,0.410118,0.392609,0.376417,0.361423,0.347521,0.334615,0.322618,0.311453,0.301051,0.291346,0.282283
3.1e+06,1.23871,1.15767,1.08425,1.01761,0.957017,0.901825,0.851466,0.805442,0.763312,0.724686,0.68922,0.656609,0.62658,0.598892,0.57333,0.5497,0.52783,0.507565,0.488767,0.471309,0.45508,0.439978,0.42591,0.412793,0.400551
4.1e+06,1.5024,1.40825,1.3226,1.24456,1.17335,1.10828,1.04872,0.994145,0.944055,0.898023,0.855664,0.816635,0.780631,0.747376,0.716625,0.688158,0.661778,0.637307,0.614583,0.593462,0.573814,0.55552,0.538472,0.522574,0.507737
5.1e+06,1.69952,1.59975,1.50811,1.42396,1.34668,1.27566,1.21035,1.15024,1.09485,1.04378,0.996635,0.953072,0.91278,0.875477,0.840909,0.808846,0.77908,0.751423,0.725704,0.70177,0.67948,0.658705,0.639331,0.621252,0.604371
6.1e+06,1.64502,1.59174,1.54194,1.55086,1.4746,1.40287,1.33599,1.27382,1.2161,1.16253,1.11281,1.06665,1.02379,0.983966,0.946945,0.91251,0.880461,0.850616,0.822807,0.79688,0.772696,0.750125,0.729051,0.709365,0.690968
7.1e+06,1.66013,1.60683,1.55711,1.51062,1.467,1.42592,1.38704,1.3612,1.30612,1.25356,1.20403,1.15755,1.11403,1.07333,1.03529,0.999747,0.966534,0.935499,0.906495,0.879384,0.854038,0.830335,0.808165,0.787425,0.768019
8.1e+06,1.67493,1.62156,1.57185,1.52545,1.48201,1.44125,1.40286,1.36653,1.33195,1.29866,1.26581,1.22429,1.18295,1.1435,1.10615,1.07091,1.03775,1.00657,0.977296,0.949818,0.924039,0.89986,0.877187,0.85593,0.836004
9.1e+06,1.68947,1.636,1.58624,1.53986,1.49652,1.45595,1.41785,1.38197,1.34804,1.31579,1.2849,1.25494,1.22502,1.19262,1.15887,1.12591,1.09429,1.06418,1.03564,1.00866,0.983195,0.959201,0.936613,0.915366,0.895395
1.01e+07,1.70379,1.65017,1.60033,1.55392,1.51062,1.47015,1.43224,1.39664,1.36312,1.33144,1.30137,1.27267,1.24504,1.21811,1.19127,1.16383,1.13597,1.1085,1.08188,1.05635,1.032,1.00886,0.98695,0.966233,0.94668
1.11e+07,1.71791,1.66413,1.61417,1.5677,1.52439,1.48397,1.44617,1.41075,1.37749,1.34618,1.31662,1.2886,1.26192,1.23637,1.2117,1.18763,1.16385,1.14015,1.1166,1.09349,1.07105,1.04945,1.02878,1.00909,0.990393
1.21e+07,1.73185,1.67788,1.62779,1.58122,1.53787,1.49746,1.45971,1.42441,1.39133,1.36028,1.33105,1.30348,1.27738,1.2526,1.22895,1.20625,1.18433,1.16301,1.14212,1.1216,1.10148,1.08188,1.0629,1.04465,1.02718
1.31e+07,1.74563,1.69146,1.64121,1.59453,1.55111,1.51066,1.47294,1.43771,1.40475,1.37387,1.34488,1.31762,1.29193,1.26765,1.24464,1.22276,1.20185,1.18179,1.16245,1.14372,1.12551,1.1078,1.0906,1.07396,1.05793
1.41e+07,1.75927,1.70488,1.65445,1.60764,1.56412,1.52363,1.4859,1.45069,1.41781,1.38705,1.35824,1.33121,1.30582,1.2819,1.25934,1.23801,1.21777,1.19852,1.18014,1.16254,1.14562,1.12932,1.11358,1.0984,1.08377
1.51e+07,1.77277,1.71815,1.66753,1.62057,1.57694,1.53638,1.49861,1.46341,1.43057,1.3999,1.37121,1.34435,1.31918,1.29554,1.27332,1.25239,1.23264,1.21396,1.19625,1.17943,1.1634,1.1481,1.13345,1.11942,1.10597
1.61e+07,1.78616,1.73129,1.68047,1.63334,1.58959,1.54893,1.51111,1.47589,1.44307,1.41245,1.38385,1.35712,1.33212,1.30869,1.28673,1.26612,1.24674,1.22849,1.21129,1.19504,1.17967,1.1651,1.15127,1.13812,1.12561
1.71e+07,1.79943,1.74431,1.69328,1.64597,1.60208,1.56132,1.52342,1.48817,1.45533,1.42474,1.3962,1.36957,1.3447,1.32144,1.29969,1.27932,1.26024,1.24233,1.22553,1.20973,1.19487,1.18087,1.16767,1.15521,1.14344
1.81e+07,1.8126,1.75722,1.70596,1.65847,1.61443,1.57354,1.53556,1.50025,1.4674,1.43681,1.40831,1.38174,1.35697,1.33385,1.31226,1.2921,1.27325,1.25563,1.23914,1.22371,1.20926,1.19571,1.18302,1.17112,1.15995
1.91e+07,1.82567,1.77002,1.71853,1.67084,1.62664,1.58563,1.54755,1.51217,1.47927,1.44867,1.42019,1.39367,1.36897,1.34596,1.32451,1.30451,1.28586,1.26847,1.25225,1.23712,1.223,1.20984,1.19756,1.18612,1.17545
2.01e+07,1.83865,1.78272,1.73099,1.6831,1.63873,1.59757,1.55939,1.52392,1.49098,1.46035,1.43188,1.40539,1.38074,1.35781,1.33647,1.3166,1.29812,1.28093,1.26493,1.25005,1.23623,1.22339,1.21146,1.20041,1.19016
2.11e+07,1.85154,1.79533,1.74336,1.69525,1.6507,1.6094,1.57109,1.53554,1.50253,1.47187,1.44338,1.4169,1.3923,1.36943,1.34817,1.32843,1.31008,1.29305,1.27725,1.26259,1.24901,1.23645,1.22483,1.2141,1.20422
2.21e+07,1.86436,1.80786,1.75563,1.70731,1.66257,1.62111,1.58268,1.54703,1.51394,1.48323,1.45472,1.42824,1.40366,1.38084,1.35966,1.34,1.32178,1.30489,1.28925,1.27478,1.26142,1.24909,1.23774,1.22731,1.21775
2.31e+07,1.8771,1.8203,1.76781,1.71927,1.67433,1.63272,1.59415,1.55839,1.52522,1.49445,1.46591,1.43942,1.41485,1.39206,1.37094,1.35136,1.33323,1.31647,1.30097,1.28667,1.2735,1.26138,1.25027,1.24009,1.23081
2.41e+07,1.88977,1.83267,1.77992,1.73114,1.68601,1.64422,1.60551,1.56964,1.53638,1.50554,1.47695,1.45045,1.42588,1.40311,1.38203,1.36252,1.34448,1.32781,1.31245,1.29829,1.28529,1.27336,1.26245,1.25251,1.24349
2.51e+07,1.90237,1.84496,1.79194,1.74293,1.69759,1.65563,1.61677,1.58078,1.54742,1.51651,1.48787,1.46134,1.43676,1.41401,1.39295,1.37349,1.35553,1.33895,1.3237,1.30967,1.29682,1.28506,1.27434,1.26461,1.25581
2.61e+07,1.9149,1.85719,1.8039,1.75464,1.7091,1.66695,1.62794,1.59182,1.55836,1.52737,1.49867,1.4721,1.4475,1.42475,1.40372,1.3843,1.3664,1.3499,1.33474,1.32084,1.30811,1.29651,1.28596,1.27642,1.26782
2.71e+07,1.92738,1.86935,1.81578,1.76628,1.72052,1.67819,1.63902,1.60276,1.56919,1.53812,1.50935,1.48274,1.45812,1.43536,1.41435,1.39496,1.3771,1.36068,1.3456,1.3318,1.3192,1.30773,1.29734,1.28797,1.27957
2.81e+07,1.9398,1.88145,1.8276,1.77785,1.73187,1.68935,1.65001,1.61362,1.57994,1.54877,1.51993,1.49326,1.46861,1.44584,1.42483,1.40547,1.38766,1.37129,1.35629,1.34258,1.33009,1.31874,1.30849,1.29928,1.29106
2.91e+07,1.95217,1.89349,1.83935,1.78935,1.74315,1.70043,1.66093,1.62439,1.59059,1.55932,1.53041,1.50368,1.47899,1.45621,1.4352,1.41585,1.39807,1.38175,1.36682,1.35319,1.3408,1.32957,1.31945,1.31038,1.30232
